location_id,location_name,field_name,candidate_value,confidence,source_url,source_type,notes,reviewer_status
LOC-155,Curug Panganten,location_context,"Perkebunan Teh Kertamanah, Desa Margamulya, Kecamatan Pangalengan",MEDIUM,https://www.gravity-adventure.com/2025/11/curug-panganten-pangalengan-petualangan.html,travel_blog,"Matches Pangalengan context; verify with second source before final.",candidate
LOC-155,Curug Panganten,estimated_height,"25 meter",MEDIUM,https://www.gravity-adventure.com/2025/11/curug-panganten-pangalengan-petualangan.html,travel_blog,"Article describes twin waterfall height as approximately 25 meters.",candidate
LOC-155,Curug Panganten,access_difficulty,"trekking_25_30_minutes; rough_road",MEDIUM,https://www.gravity-adventure.com/2025/11/curug-panganten-pangalengan-petualangan.html,travel_blog,"Road is winding/rocky; trekking from final parking around 25-30 minutes.",candidate
LOC-155,Curug Panganten,harga_tiket,"gratis/belum ada tiket resmi",LOW-MEDIUM,https://www.gravity-adventure.com/2025/11/curug-panganten-pangalengan-petualangan.html,travel_blog,"Use cautiously because this may change and source is not official.",candidate
LOC-155,Curug Panganten,toilet_verified,"partial",LOW-MEDIUM,https://www.gravity-adventure.com/2025/11/curug-panganten-pangalengan-petualangan.html,travel_blog,"Article says visitors can use toilets at nearby resident stalls; not destination-managed facility.",candidate
LOC-155,Curug Panganten,nature_features,"air_terjun_kembar|kebun_teh|kolam_alami",MEDIUM,https://www.gravity-adventure.com/2025/11/curug-panganten-pangalengan-petualangan.html,travel_blog,"Useful for tags/description, not a hard verification field.",candidate
LOC-023,Curug Malela,location_context,"Kampung Manglid, Desa Cicadas, Kecamatan Rongga, Kabupaten Bandung Barat",HIGH,https://cicadas.digitaldesa.id/wisata/curug-malela,village_official,"Official village website context.",candidate
LOC-023,Curug Malela,jam_buka_weekday,"08:00",HIGH,https://cicadas.digitaldesa.id/wisata/curug-malela,village_official,"Page says Curug Malela can be visited every day from 08.00 to 17.00 WIB.",candidate
LOC-023,Curug Malela,jam_tutup_weekday,"17:00",HIGH,https://cicadas.digitaldesa.id/wisata/curug-malela,village_official,"Page says Curug Malela can be visited every day from 08.00 to 17.00 WIB.",candidate
LOC-023,Curug Malela,jam_buka_weekend,"08:00",HIGH,https://cicadas.digitaldesa.id/wisata/curug-malela,village_official,"Page says every day, so weekend candidate follows same hours.",candidate
LOC-023,Curug Malela,jam_tutup_weekend,"17:00",HIGH,https://cicadas.digitaldesa.id/wisata/curug-malela,village_official,"Page says every day, so weekend candidate follows same hours.",candidate
LOC-023,Curug Malela,estimated_height,"60 meter",HIGH,https://cicadas.digitaldesa.id/wisata/curug-malela,village_official,"Official village page describes height around 60 meters.",candidate
LOC-023,Curug Malela,estimated_width,"70 meter",HIGH,https://cicadas.digitaldesa.id/wisata/curug-malela,village_official,"Official village page describes width up to 70 meters.",candidate
LOC-023,Curug Malela,parking_verified,"true",MEDIUM-HIGH,https://cicadas.digitaldesa.id/wisata/curug-malela,village_official,"Page mentions adequate parking area.",candidate
LOC-023,Curug Malela,food_stall_available,"true",MEDIUM-HIGH,https://cicadas.digitaldesa.id/wisata/curug-malela,village_official,"Page mentions food stalls.",candidate
LOC-023,Curug Malela,access_difficulty,"challenging; remote; walking_around_1_hour",HIGH,https://cicadas.digitaldesa.id/wisata/curug-malela,village_official,"Page says access is challenging and requires around 1 hour walking from Desa Cicadas.",candidate
LOC-023,Curug Malela,best_season,"musim_kemarau",MEDIUM-HIGH,https://cicadas.digitaldesa.id/wisata/curug-malela,village_official,"Page recommends avoiding rainy season because road is slippery and water current is strong.",candidate
